NORAD_ID,OBJECT_NAME,INCLINATION,RAAN,ECCENTRICITY,ARG_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,BSTAR,EPOCH
00260,DEBRIS_00260,66.7695,25.1137,0.0041355,180.5774,179.5292,14.44105552,49212-3,26099.22979175
00261,DEBRIS_00261,66.6810,224.0414,0.0085933,17.0386,343.3550,14.01024510,11679-3,26099.40717731
262,DEBRIS_262,66.4615,254.5557,0.0052791,141.6281,218.8605,14.60031055,47024-3,26099.86269594
263,DEBRIS_263,66.5294,313.2150,0.0102682,316.2531,132.0122,14.47126329,24275-3,26099.83603392
264,DEBRIS_264,66.5245,55.8170,0.0014822,60.9772,299.2812,14.38821241,85259-3,26099.57265185
00268,DEBRIS_00268,67.9407,332.3179,0.0647783,197.2255,343.8184,12.51708134,11696-2,26099.38637524
00273,DEBRIS_00273,86.6519,307.2133,0.0326673,304.6626,52.3892,9.43830571,-42940-2,26098.83317980
00274,DEBRIS_00274,86.6766,343.5975,0.0346619,253.6132,102.6404,9.39368961,-10453-1,26099.35977343
299,DEBRIS_299,67.1679,193.2810,0.0194587,347.3434,12.2787,13.68995941,27777-3,26099.53893935
00312,DEBRIS_00312,58.2461,279.2062,0.0187084,211.2949,147.6840,14.61718303,21203-3,26098.79611662
320,DEBRIS_320,66.9053,223.5911,0.0126674,76.4771,285.0404,14.29540174,15614-3,26099.60517538
323,DEBRIS_323,66.8379,273.5040,0.0071353,141.1170,219.5086,14.16383694,43679-3,26099.78728012
00324,DEBRIS_00324,66.8674,204.8969,0.0059350,77.0024,283.7685,14.13327344,14400-3,26099.42371631
325,DEBRIS_325,66.9132,279.0763,0.0049971,80.4917,280.1821,14.23042164,42916-3,26099.76254384
00327,DEBRIS_00327,66.5431,197.3130,0.0111911,181.6362,178.4365,13.90849049,20081-3,26099.53258112
00329,DEBRIS_00329,66.7801,175.4334,0.0110745,37.9937,340.2318,13.66105882,15550-3,26099.51030938
00330,DEBRIS_00330,66.9771,115.0150,0.0046819,179.1022,181.0160,14.06685665,46557-3,26099.41178772
00333,DEBRIS_00333,66.7011,341.6977,0.0038669,330.6431,29.2522,14.84501671,70773-3,26099.38857994
334,DEBRIS_334,66.9263,350.3891,0.0076156,156.0495,204.4159,13.91736850,69023-4,26099.80123374
00335,DEBRIS_00335,66.8396,307.5652,0.0041464,229.3168,130.4322,14.22844992,42807-3,26098.96358107
336,DEBRIS_336,67.0328,353.6090,0.0078162,189.5340,234.4178,13.69198831,16799-3,26099.78031857
00337,DEBRIS_00337,67.0069,85.6289,0.0108484,307.5599,51.5656,13.76378174,43048-3,26099.02169162
350,DEBRIS_350,66.9129,45.9281,0.0127074,203.7265,155.7941,14.22612730,14133-3,26099.57943580
351,DEBRIS_351,66.7407,281.1405,0.0024005,351.3094,8.7614,14.85381762,10559-2,26099.77979026
354,DEBRIS_354,67.0660,253.9617,0.0167649,355.5022,155.7703,13.49426720,13685-3,26099.87201175
355,DEBRIS_355,67.2253,157.4550,0.0248063,255.4819,281.0379,13.34088921,12208-2,26099.89353291
357,DEBRIS_357,66.8082,58.1492,0.0018376,260.3921,99.5092,14.09458475,53622-3,26099.88475506
00402,DEBRIS_00402,66.6511,64.9336,0.0027804,347.2682,12.7732,14.72432113,15151-2,26099.27539521
00403,DEBRIS_00403,66.8393,91.3402,0.0026574,236.7582,233.3059,13.81224898,85192-4,26099.34663273
404,DEBRIS_404,66.4696,247.2061,0.0556684,208.7628,148.1630,12.92451320,16205-2,26099.80619835
405,DEBRIS_405,66.8941,322.4517,0.0089546,230.1250,204.4466,13.66683367,31363-3,26099.79400919
406,DEBRIS_406,66.7768,154.4005,0.0110147,80.6085,97.2957,13.69553545,49418-3,26099.89090677
408,DEBRIS_408,66.7850,272.2621,0.0063009,172.9195,338.5001,13.77120513,49379-3,26099.89717876
00409,DEBRIS_00409,66.7121,169.3545,0.0068418,230.6342,128.8683,14.28856464,46016-3,26099.31099142
00410,DEBRIS_00410,66.6936,203.1770,0.0010155,26.6403,352.2915,13.76602878,11223-3,26099.53384927
414,DEBRIS_414,66.4433,272.3152,0.0044576,164.4383,305.6655,13.77594549,12383-3,26099.84647794
00416,DEBRIS_00416,66.4969,93.0095,0.0082190,221.8105,137.6686,14.14704702,31029-3,26099.35369969
00417,DEBRIS_00417,66.7471,28.3040,0.0064885,157.3552,203.0429,14.20661328,36753-3,26099.18177479
00420,DEBRIS_00420,66.8112,97.3425,0.0090354,261.5520,97.5332,14.33977718,34618-3,26099.36312893
461,DEBRIS_461,67.4933,284.7569,0.0020661,357.9351,2.1703,15.05839758,11111-2,26099.79236376
463,DEBRIS_463,66.7661,235.6199,0.0050290,304.8075,54.8311,14.57029802,61520-3,26099.65099899
00465,DEBRIS_00465,66.3172,81.9854,0.0035235,338.0674,21.8916,14.40858045,90517-3,26099.25421004
467,DEBRIS_467,66.5564,247.5413,0.0244343,0.7376,359.3996,13.57296875,16900-2,26099.75249869
00469,DEBRIS_00469,66.8341,336.9672,0.0063876,248.9799,110.4463,14.35011001,29370-3,26099.05082128
00470,DEBRIS_00470,66.2285,90.7235,0.0066524,0.0813,0.0270,14.09256213,39603-3,26099.33389275
475,DEBRIS_475,66.2199,198.8582,0.0132196,151.5850,209.2534,14.23660803,88124-3,26099.51610208
478,DEBRIS_478,66.0597,9.2406,0.0029906,334.6774,25.2883,14.95139136,11302-2,26099.80935285
480,DEBRIS_480,66.2371,247.1644,0.0077602,190.8376,169.1057,14.42114422,60720-3,26099.79643729
00510,DEBRIS_00510,80.5168,33.5230,0.0014615,270.7536,242.5177,13.70061465,86905-4,26099.24433962
511,DEBRIS_511,80.4252,260.6039,0.0031989,154.0976,359.9672,13.68559059,87012-4,26098.90409042
00516,DEBRIS_00516,65.9955,322.0677,0.0080994,184.7558,175.2755,13.92769888,52621-4,26099.00009362
530,DEBRIS_530,66.8777,136.9978,0.0083533,222.3991,137.0620,13.99415928,13269-3,26099.44467088
537,DEBRIS_537,67.2250,276.0644,0.0175801,341.5083,77.6510,13.65047169,37573-3,26099.56558435
538,DEBRIS_538,67.8030,143.1064,0.0011977,298.6118,61.3802,14.65027022,60836-3,26099.51177465
00541,DEBRIS_00541,67.2188,209.1386,0.0080363,325.0731,34.5090,13.86351239,24641-3,26098.70412895
00543,DEBRIS_00543,67.0294,104.8851,0.0074715,253.3027,225.1152,13.69210028,21699-3,26099.36163750
00544,DEBRIS_00544,66.8767,17.8153,0.0191650,309.3400,166.0293,13.56176154,22854-3,26099.42388981
00545,DEBRIS_00545,67.2309,75.1418,0.0151152,99.9425,261.8745,13.71044321,50038-3,26099.01139597
548,DEBRIS_548,66.6683,140.1856,0.0094982,173.1084,187.1370,14.75822762,23972-3,26099.48500714
00549,DEBRIS_00549,66.6952,49.8956,0.0213494,9.3887,137.5502,13.36444707,33137-3,26099.25078277
00552,DEBRIS_00552,67.7364,215.1579,0.0094607,52.8950,308.0740,13.99481657,95823-3,26099.44272653
558,DEBRIS_558,65.6993,303.3292,0.0465016,127.2253,320.8441,12.86518460,85182-3,26099.80413689
00559,DEBRIS_00559,66.5971,125.1012,0.0045187,219.0861,140.6991,14.72650226,85285-3,26099.40877934
560,DEBRIS_560,67.1606,49.7726,0.0307631,355.9467,3.9110,13.59320124,19245-2,26099.58302728
00561,DEBRIS_00561,67.7513,98.9723,0.0630196,344.8263,132.7887,12.41489150,16556-2,26099.46039184
00602,DEBRIS_00602,87.3679,196.2805,0.0018567,118.1126,242.1609,8.67238092,-67653-2,26098.22887165
00628,DEBRIS_00628,87.3469,209.7611,0.0020377,208.9538,151.0185,8.63373859,00000-0,26099.29936095
00629,DEBRIS_00629,87.3584,197.9160,0.0037903,67.3095,293.1761,8.65563607,-36339-2,26099.28136085
00630,DEBRIS_00630,88.4603,206.8943,0.0057578,309.2746,50.3007,8.59863089,33589-2,26098.26013600
00631,DEBRIS_00631,88.4333,221.0236,0.0160337,155.5036,205.3534,8.55876108,00000-0,26099.29998312
643,DEBRIS_643,66.3691,213.0927,0.0318753,76.0126,287.6142,13.36729174,55368-3,26099.54056696
00644,DEBRIS_00644,67.0966,94.1114,0.0134543,166.7874,312.4095,13.61261114,71268-3,26099.39418186
645,DEBRIS_645,66.5886,9.2651,0.0408057,170.3434,256.7108,13.04867506,17455-2,26099.81559125
648,DEBRIS_648,65.8736,195.9011,0.0206009,258.5709,192.7209,13.59570650,52295-3,26099.52850701
00649,DEBRIS_00649,66.2672,309.9281,0.0553963,76.3267,70.0612,12.65325527,63925-3,26099.02772133
